reference,generated_summary
Caleb sent Ella a pic of Maya to show her the girl's costume as a mouse in a school play. ,Caleb sent Ella a photo of Maya playing a mouse in a school play. Ella can't open it for some
"Marco will sign the attendance form, when he arrives.",Javier reminds Marco to sign the attendance
Michelle and Josh's plan to go to the movies tomorrow night is still valid. Josh will pick Michelle up at 7.,Josh and Michelle are going to the movies tomorrow at 7.
"Yaz and Tania will go to a pub on Friday around 8. Sophie is thinking of breaking up with her boyfriend before Uni. Tania is going to Manchester in 4 months. Yaz wants to study medicine in Exeter, so she needs high grades.",Yaz and Tania are going to a pub on Friday at 8ish. Sophie and her boyfriend are breaking up before Uni. Yaz is going to Manchester in 4 months and a bit. Yaz needs high grades for her course.
Anna is disappointed as she learns the history our civilization. Dark humour cheers her up.,"Anna studies history, history, politics, war, conflicts, hatred, egoism, etc. and gets idealistic. She is miserable when she faces reality. Jerry tries to look for positives."
Jacks played poker on the Bulls Eye platform and made some money. Robin will read up on strategies for the game on sites recommended by Jacks.,Robin is trying to read up on the poker platform. Jacks played on it several times and made a few bucks on it. He sends Robin a few links to some good sites.
Sergio needed a long time to prepare a speech for Ulrich's wedding. He's going to talk about their long-lasting friendship and is nervous about giving a speech. Ralph is sure it will be fine. ,Sergio prepared a speech for Ulrich's wedding. He will talk about how Ulrich has been a great friend over the years. Sergio is nervous
"Edward doesn't want to go on the business trip tomorrow. Lauren's stressed about it, because their boss is coming with them. Kate think it's going to be ok. There will be meeting with clients and an expo.",Edward and Lauren are going on a business trip tomorrow. The boss is coming with them. They are going to an expo. 
"Robert texts Gabriel to arrange a get-together with him in the office at 3 pm, before he is meeting Darek. But Gabriel left the office a month ago and is at home now, so they will not meet today.",Robert is meeting Darek at 5 p.m. Gabriel quit the office about a month ago. Robert came to visit his old friends. Gabriel is at home.
Susan's presentation was a disaster. Tom will pick up Becky from school as she has a fever and will take her to his mum's house. He needs to return to the office later on. ,Susan's presentation was a disaster. Becky has a fever. Tom will pick her up and take her to his mother's house. Tom needs to return to the office.
"Ethan and Leo are going to see Sólstafir on 21.11. Noah would like to go too, but he might have to stay late at work.","Noah, Ethan, Leo and Archie are going to see solstafir on Wednesday 21st of February. Noah might have to stay late at work."
"Marleen will be leaving in half an hour to go to town. She will get a present for Rita - silk kerchief with a yellow pattern from Kaiser's. It costs 39, and Barley will share the cost 50/50 with Marleen.",Marleen will go to town in half an hour to buy a present for Rita. Barry is at home now. Barry and Marleen are going to split the cost of a yellow silk kerchief with yellow pattern 39.
"Lucas, Johnatan and Darren are going to get some beer.",Lucas is free in the evening
"Zandra's daughter, Tam, has a birthday tomorrow. The party starts at Tricia's place, so Erwin will deliver a birthday cake by bike. Zandra is taking care of the decorations, Tricia of the food and a company of the outside attractions. ",Zandra's daughter's birthday party is tomorrow. The cake is still not ready. Tricia will send Erwin to get it by bike. Zandra will start decorating in the morning after kids go to grandma.
Neither Raf nor Sarah remembered to reply to Laura but she managed anyway. Both Sarah and Laura are in Linate.,Laura didn't get any replies from Raf and Sarah. Sarah is on an island called Linate. Laura is at the same hotel as
Adam is going to take an exam in ten minutes.,"Adam is going to the exam in 10 minutes. Dave and others are nervous, but"
Lena has her keys. Paul will be home later than he thought. Paul will call Lena in 15 minutes and tell her what happened.,Paul will be home later than he thought. He will call Lena in 15 minutes.
Nigel was at Felix Laband's concert in Paris last night. Bob likes him too. ,Bob and Nigel like Felix Laband. Nigel went to
A sweet little black cat got into the pitch during the Everton's football match.,A cat invaded the pitch at Goodison Park and a video was made of it. 
Uncle Jayson is pleased with Ewan's graduation.,Ewan graduated from college
"Daniel, Michael, Matt and Brian are going to Croatia and Bosnia and Herzegovina. They are packing. Michael reminds them to take their passports, because Bosnia and Herzegovina is not in the EU. They will go to Mostar and the mountains in Bosnia.",Daniel is packing for the trip to Bosnia and Herzegovina. They are going to Mostar and the mountains. Brian will pack his passport.
Ross wants to do karaoke. Chandler wants to record it for fun.,Ross and Chandler are going to karaoke tonight. Chandler will do George Michael. Chandler and Ross will record everything. Chandler is going to do it.
"Poppy and Harry like Lisbon. Poppy doesn't like parties, but she likes traveling and sightseeing. Harry likes parties, traveling and sightseeing. ","Harry and Poppy prefer Lisbon to a party. Poppy doesn't like parties. Harry likes travelling and sightseeing, while Poppy prefers to go"
Brook wants Gyle to come and see what happened yesterday. ,Brook wants Gyle to come
"Kate, Milena and Regina's presentation went well. Three people came to listen to them.","Regina and Kate had a good presentation. Only 3 people came to listen to them, but they"
"Barbara, Sean and Zac are meeting at Barbara's place tonight. Sean will bring the dog. Sean and Zac will stay overnight.",Barbara invites Sean and Zac to stay overnight. Zac will bring the dog
"Quinn and Kyle are going out tonight. Kyle is leaving school at Easter to work for his uncle. Quinn's parents want him to retake his GCSEs. Kyle's brother will buy alcohol and cigarettes for them. Their friend, Kirsty, is dating Nathan Baker. Quinn and Kyle will meet around 6 outside the club.",Kyle and Quinn are going out tonight after school is over. Kyle is working for his Uncle Kev at the building site. Quinn's cousin was taken on with an apprenticeship in bricklaying last year. Quinn and Kyle will meet outside the club at 6.
Dick is going to buy an apartment in Frank's neighbourhood. Dick and Frank are going to see the apartment in 30 minutes.,Dick and Frank are going to the apt in building 32/3 to see it. They will see it in 30 minutes. Dick will put 10% down as a down payment. Frank will bring a measure.
Mia and Steven want to grab some Chinese at 8.,Steven and Mia will meet at 8 to go to Chinese
Marshall invited Lilly to watch Netflix with him.,Lilly and Marshall won't go out tonight because Marshall can't
